Experiment: PRO Training by Escanor292
======================================================================

Configuration:
  Data: data/merged_temp.csv
  Model: vinai/phobert-base
  Epochs: 5
  Batch Size: 16
  Learning Rate: 1e-05
  Dropout: 0.3

Test Results:
  Test Loss: 0.9711
  Micro F1: 0.4428
  Macro F1: 0.3817
  Hamming Loss: 0.3217

Per-Label F1 Scores:
  joy            : 0.5000
  trust          : 0.4444
  fear           : 0.5172
  surprise       : 0.0588
  sadness        : 0.4583
  disgust        : 0.3158
  anger          : 0.2000
  anticipation   : 0.4789
  love           : 0.6207
  worried        : 0.3750
  disappointed   : 0.5397
  proud          : 0.2449
  embarrassed    : 0.1935
  jealous        : 0.0000
  calm           : 0.4638
  excited        : 0.6957
